run_id,final_utility,total_runtime,num_facilities_selected
10,37.237610,54.930417,5
1,39.321691,55.746214,5
9,39.305008,55.792754,5
0,34.477114,55.884458,5
6,37.650740,56.027436,5
2,38.749695,56.254075,5
5,37.895224,56.669992,5
3,39.277208,56.929166,5
7,39.116924,56.988787,5
8,39.381112,57.033674,5
11,38.302026,57.402320,5
4,39.321691,57.838735,5
12,38.412012,58.246934,5
13,37.859966,57.554802,5
14,38.489739,57.874808,5
21,39.253970,57.113580,5
19,36.588892,57.318120,5
16,38.490048,58.388210,5
17,39.202521,58.335266,5
15,39.381112,58.894453,5
18,39.006938,59.026888,5
20,31.841624,58.897978,5
22,36.556244,59.227149,5
23,36.576092,60.166567,5
25,39.381112,54.037623,5
29,39.253970,52.992461,5
31,38.124976,52.847639,5
24,39.116924,54.716847,5
32,38.154727,52.562460,5
27,36.512171,54.523966,5
30,38.154727,54.218645,5
28,37.242603,54.584115,5
26,34.930331,55.318281,5
35,38.561981,51.049797,5
34,39.277208,52.529156,5
33,38.231962,54.503452,5
36,39.214849,26.981460,5
37,37.134404,27.038544,5
38,39.305008,27.017414,5
39,39.202521,27.026707,5
