run_id,final_utility,total_runtime,num_facilities_selected
7,39.116924,17.718399,5
8,39.381112,17.813217,5
10,39.381112,17.887448,5
9,39.258017,18.093033,5
0,39.253970,18.141376,5
2,39.305008,18.232983,5
6,39.305008,18.276831,5
1,39.381112,18.465928,5
4,39.321691,18.483426,5
3,37.915627,18.703210,5
11,39.277208,18.711035,5
5,39.253970,18.854760,5
15,39.381112,18.504356,5
13,39.381112,18.931679,5
19,39.381112,18.464272,5
12,39.381112,19.215814,5
14,39.381112,19.158388,5
16,39.381112,19.199629,5
18,39.305008,19.144139,5
17,37.412523,19.377748,5
20,38.561981,19.138387,5
22,39.214849,19.031080,5
21,39.381112,19.114993,5
23,39.253970,19.243794,5
24,39.381112,18.156259,5
26,39.305008,18.027915,5
27,39.381112,18.190731,5
28,39.214849,18.515806,5
33,39.381112,17.835661,5
25,39.381112,18.885328,5
32,39.381112,18.244354,5
29,39.381112,18.536632,5
30,39.381112,18.476530,5
31,39.381112,18.446967,5
34,39.305008,18.385091,5
35,39.321691,18.262258,5
37,39.381112,10.060395,5
38,39.381112,9.928386,5
36,39.305008,10.531420,5
39,37.785752,9.909737,5
