run_id,final_utility,total_runtime,num_facilities_selected
4,39.381112,26.469082,5
9,39.277208,26.644193,5
0,39.277208,26.861399,5
3,38.514909,27.010074,5
11,39.381112,27.044461,5
8,39.381112,27.169598,5
2,39.381112,27.405551,5
10,39.381112,27.530287,5
6,39.202521,27.572731,5
1,39.214849,27.643770,5
7,39.381112,27.665558,5
5,35.342742,27.775969,5
15,39.381112,21.834375,5
16,39.381112,22.054218,5
12,39.214849,22.950187,5
14,39.305008,22.812777,5
17,39.381112,22.576080,5
18,39.214849,22.459150,5
13,39.277208,23.295640,5
21,39.321691,22.355450,5
19,39.214849,22.513961,5
22,39.202521,22.666285,5
23,39.277208,22.609110,5
20,39.381112,22.853146,5
24,39.305008,21.096852,5
26,39.321691,21.433903,5
28,39.202521,21.130297,5
27,39.202521,21.233318,5
25,39.321691,22.123292,5
31,39.277208,21.254377,5
30,39.381112,21.420494,5
32,39.305008,21.360474,5
34,39.305008,21.020564,5
29,39.253970,21.627465,5
33,39.381112,21.314474,5
35,39.321691,21.416527,5
36,39.277208,11.314072,5
37,39.202521,11.203983,5
39,39.381112,11.225785,5
38,39.381112,11.523819,5
